0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:01:42 +0200] "GET /Actori/assets/actori_rosu.psd HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:02:53 +0200] "GET /Actori/index.html HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:02:53 +0200] "GET /Actori/assets/actori_rosu.png HTTP/1.1" 200 57634
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:02:53 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:02:53 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:03:37 +0200] "GET /Actori/index.html HTTP/1.1" 200 5133
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:03:37 +0200] "GET /Actori/assets/actori.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:04:28 +0200] "GET /Actori/index.html HTTP/1.1" 200 5219
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:04:28 +0200] "GET /Actori/assets/actori_rosu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:05:27 +0200] "GET /Actori/index.html HTTP/1.1" 200 5219
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:05:28 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:05:38 +0200] "GET /Actori/index.html HTTP/1.1" 200 5188
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:05:38 +0200] "GET /Actori/assets/actori_rosu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:05:38 +0200] "GET /Actori/assets/actori.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:05:39 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:05:39 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:14:47 +0200] "GET /Actori/index.html HTTP/1.1" 200 1590
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:16:54 +0200] "GET /Actori/index.html HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:17:17 +0200] "GET /Actori/index.html HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:17:52 +0200] "GET /Actori/index.html HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:17:53 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:18:27 +0200] "GET /Actori/index.html HTTP/1.1" 200 3968
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:18:46 +0200] "GET /Actori/index.html HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:18:58 +0200] "GET /Actori/index.html HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:19:11 +0200] "GET /Actori/index.html HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:19:12 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:19:28 +0200] "GET /Actori/index.html HTTP/1.1" 200 1610
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:19:53 +0200] "GET /Actori/index.html HTTP/1.1" 200 1632
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:20:16 +0200] "GET /Actori/index.html HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:20:16 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:20:22 +0200] "GET /Actori/index.html HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:25:07 +0200] "GET /Actori/index.html HTTP/1.1" 200 1893
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:25:07 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:25:08 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:25:08 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2025:23:25:08 +0200] "GET /Actori/index.html HTTP/1.1" 304 -
